timestamp,open,high,low,close,volume, turnover
2026-09-07T14:31:00Z,78981.4,79023.5,78968.1,79000,51.7569,4088789.04389
2026-09-07T14:32:00Z,79000,79076.2,78999.9,79012.3,46.2117,3652718.81673
2026-09-07T14:33:00Z,79012.3,79028.9,78976,78984.5,9.7147,767373.41799
2026-09-07T14:34:00Z,78984.5,79038,78965.9,79015.7,92.2868,7290431.88619
2026-09-07T14:35:00Z,79015.7,79063.8,79015.6,79049.9,81.28,6425164.95958
2026-09-07T14:36:00Z,79049.9,79051.5,79010,79051.5,10.0846,796893.53308
2026-09-07T14:37:00Z,79051.5,79086.8,79024.5,79049.9,31.8544,2518296.92479
2026-09-07T14:38:00Z,79049.9,79050,79010,79010.1,20.5075,1620748.94194
2026-09-07T14:39:00Z,79010.1,79021.2,79010,79010.1,3.4521,272755.909
2026-09-07T14:40:00Z,79010.1,79012.2,78985.7,78998.3,6.7344,531999.69381
2026-09-07T14:41:00Z,78998.3,78998.3,78971.3,78971.4,8.2873,654556.86656
2026-09-07T14:42:00Z,78971.4,78999.9,78924,78999.8,96.9957,7659840.93926
2026-09-07T14:43:00Z,78999.8,79029.3,78986.9,79029.3,17.972,1419849.53385
2026-09-07T14:44:00Z,79029.3,79034,79000.3,79007.2,22.8454,1805116.72801
2026-09-07T14:45:00Z,79007.2,79017.8,79000,79017.8,24.7302,1953821.21057
2026-09-07T14:46:00Z,79017.8,79060.3,79011.9,79011.9,54.9189,4340935.27126
2026-09-07T14:47:00Z,79011.9,79025.4,79007.2,79016.1,9.7116,767339.88352
2026-09-07T14:48:00Z,79016.1,79036,79016,79036,8.5,671759.98307
2026-09-07T14:49:00Z,79036,79073,79036,79059.9,66.0609,5222001.81868
2026-09-07T14:50:00Z,79059.9,79068.9,79059.9,79061.9,19.3972,1533599.08456
2026-09-07T14:51:00Z,79061.9,79077.5,79059.9,79076,7.1569,565872.49473
2026-09-07T14:52:00Z,79076,79182.6,79076,79182.5,68.2152,5398313.7302
2026-09-07T14:53:00Z,79182.5,79213,79168.2,79213,37.4208,2963514.12007
2026-09-07T14:54:00Z,79213,79250,79212.9,79231.1,66.8181,5294343.78074
2026-09-07T14:55:00Z,79231.1,79231.2,79184.6,79184.6,22.3233,1768196.10572
2026-09-07T14:56:00Z,79184.6,79200,79184.6,79199.9,8.7604,693758.61954
2026-09-07T14:57:00Z,79199.9,79200,79184.8,79184.9,8.9792,711037.67423
2026-09-07T14:58:00Z,79184.9,79197.5,79172,79172,10.5113,832318.13935
2026-09-07T14:59:00Z,79172,79172.1,79161.5,79162,5.6864,450158.62602
2026-09-07T15:00:00Z,79162,79162,79132,79138,15.6632,1239613.80433
2026-09-07T15:01:00Z,79138,79158.2,79118.4,79158.2,8.8536,700602.97772
2026-09-07T15:02:00Z,79158.2,79158.2,79116.1,79116.1,16.6903,1320774.73367
2026-09-07T15:03:00Z,79116.1,79125.6,79100,79100,13.3558,1056621.78475
2026-09-07T15:04:00Z,79100,79107.6,79093,79093,9.0459,715507.13766
2026-09-07T15:05:00Z,79093,79099.1,79060.9,79061.4,10.8641,859136.02482
2026-09-07T15:06:00Z,79061.4,79061.5,79003.1,79018.1,21.5914,1706176.67884
2026-09-07T15:07:00Z,79018.1,79071.7,79018.1,79029.3,15.8636,1253863.70705
2026-09-07T15:08:00Z,79029.3,79041.6,79029.3,79041.5,8.9165,704748.78606
2026-09-07T15:09:00Z,79041.5,79072.5,79041.5,79067.2,12.6486,1000096.67003
2026-09-07T15:10:00Z,79067.2,79084.8,79063.4,79070.7,8.8284,698100.04095
2026-09-07T15:11:00Z,79070.7,79070.8,79045.3,79045.3,4.1475,327879.5926
2026-09-07T15:12:00Z,79045.3,79045.3,79024,79037.3,12.8001,1011596.62326
2026-09-07T15:13:00Z,79037.3,79056.7,79037.3,79056.7,8.0338,635089.93326
2026-09-07T15:14:00Z,79056.7,79056.7,79013.7,79013.7,13.1587,1040103.16395
2026-09-07T15:15:00Z,79013.7,79051.8,78973.2,79020.3,33.1206,2616614.18882
2026-09-07T15:16:00Z,79020.3,79020.3,78991.3,79012.9,13.6817,1080903.67809
